date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
31-05-2019,Fatehabad,1,Very Poor,301,PM10
01-06-2019,Fatehabad,1,Poor,208,PM10
02-06-2019,Fatehabad,1,Poor,243,PM10
03-06-2019,Fatehabad,1,Poor,266,PM10
04-06-2019,Fatehabad,1,Very Poor,322,PM10
05-06-2019,Fatehabad,1,Poor,217,PM10
06-06-2019,Fatehabad,1,Poor,259,PM10
07-06-2019,Fatehabad,1,Moderate,194,PM10
08-06-2019,Fatehabad,1,Moderate,188,PM10
09-06-2019,Fatehabad,1,Poor,245,PM10
10-06-2019,Fatehabad,1,Poor,263,PM10
11-06-2019,Fatehabad,1,Very Poor,332,PM10
12-06-2019,Fatehabad,1,Poor,291,PM10
13-06-2019,Fatehabad,1,Poor,281,PM10
14-06-2019,Fatehabad,1,Poor,240,PM10
15-06-2019,Fatehabad,1,Poor,280,PM10
16-06-2019,Fatehabad,1,Poor,223,PM10
17-06-2019,Fatehabad,1,Moderate,141,PM10
18-06-2019,Fatehabad,1,Moderate,105,PM10
19-06-2019,Fatehabad,1,Moderate,121,PM10
20-06-2019,Fatehabad,1,Moderate,179,PM10
21-06-2019,Fatehabad,1,Moderate,131,PM10
22-06-2019,Fatehabad,1,Moderate,137,PM10
23-06-2019,Fatehabad,1,Moderate,151,PM10
25-06-2019,Fatehabad,1,Moderate,102,PM10
26-06-2019,Fatehabad,1,Moderate,108,PM10
27-06-2019,Fatehabad,1,Poor,251,PM10
28-06-2019,Fatehabad,1,Moderate,184,PM10
29-06-2019,Fatehabad,1,Very Poor,397,PM10
30-06-2019,Fatehabad,1,Very Poor,343,PM10
01-07-2019,Fatehabad,1,Very Poor,398,PM10
03-07-2019,Fatehabad,1,Moderate,181,PM10
04-07-2019,Fatehabad,1,Moderate,156,PM10
05-07-2019,Fatehabad,1,Moderate,144,PM2.5
06-07-2019,Fatehabad,1,Moderate,172,PM10
07-07-2019,Fatehabad,1,Moderate,104,PM10
08-07-2019,Fatehabad,1,Moderate,188,PM10
09-07-2019,Fatehabad,1,Moderate,171,PM10
10-07-2019,Fatehabad,1,Moderate,181,PM10
11-07-2019,Fatehabad,1,Very Poor,358,PM2.5
15-07-2019,Fatehabad,1,Poor,219,PM10
16-07-2019,Fatehabad,1,Moderate,116,PM10
17-07-2019,Fatehabad,1,Satisfactory,56,PM10
18-07-2019,Fatehabad,1,Satisfactory,67,PM10
19-07-2019,Fatehabad,1,Satisfactory,100,PM10
20-07-2019,Fatehabad,1,Moderate,115,PM10
21-07-2019,Fatehabad,1,Satisfactory,96,PM10
23-07-2019,Fatehabad,1,Satisfactory,79,OZONE
24-07-2019,Fatehabad,1,Satisfactory,87,OZONE
25-07-2019,Fatehabad,1,Satisfactory,72,OZONE
26-07-2019,Fatehabad,1,Good,40,OZONE
27-07-2019,Fatehabad,1,Good,48,PM10
28-07-2019,Fatehabad,1,Good,30,PM10
29-07-2019,Fatehabad,1,Good,30,PM10
30-07-2019,Fatehabad,1,Good,33,PM10
31-07-2019,Fatehabad,1,Satisfactory,64,OZONE
01-08-2019,Fatehabad,1,Satisfactory,57,PM10
02-08-2019,Fatehabad,1,Good,50,PM10
03-08-2019,Fatehabad,1,Good,34,PM10
04-08-2019,Fatehabad,1,Satisfactory,58,PM10
05-08-2019,Fatehabad,1,Good,50,PM10
06-08-2019,Fatehabad,1,Satisfactory,63,PM10
07-08-2019,Fatehabad,1,Good,47,PM10
08-08-2019,Fatehabad,1,Satisfactory,56,PM10
09-08-2019,Fatehabad,1,Satisfactory,60,PM10
10-08-2019,Fatehabad,1,Good,49,PM10
11-08-2019,Fatehabad,1,Good,48,PM10
12-08-2019,Fatehabad,1,Satisfactory,51,PM10
13-08-2019,Fatehabad,1,Good,50,PM10
14-08-2019,Fatehabad,1,Satisfactory,65,PM10
