date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
15-09-2015,Agra,1,Satisfactory,93,PM2.5
16-09-2015,Agra,1,Severe,404,PM2.5
17-09-2015,Agra,1,Moderate,113,PM2.5
18-09-2015,Agra,1,Good,35,PM2.5
19-09-2015,Agra,1,Satisfactory,67,PM2.5
20-09-2015,Agra,1,Satisfactory,77,PM2.5
21-09-2015,Agra,1,Good,34,PM2.5
22-09-2015,Agra,1,Good,45,PM2.5
23-09-2015,Agra,1,Good,26,PM2.5
24-09-2015,Agra,1,Satisfactory,63,PM2.5
25-09-2015,Agra,1,Satisfactory,69,PM2.5
26-09-2015,Agra,1,Satisfactory,84,PM2.5
27-09-2015,Agra,1,Satisfactory,87,PM2.5
01-10-2015,Agra,1,Moderate,130,PM2.5
03-10-2015,Agra,1,Moderate,144,PM2.5
05-10-2015,Agra,1,Moderate,171,PM2.5
06-10-2015,Agra,1,Moderate,166,PM2.5
07-10-2015,Agra,1,Poor,266,PM2.5
08-10-2015,Agra,1,Poor,252,PM2.5
09-10-2015,Agra,1,Poor,261,PM2.5
10-10-2015,Agra,1,Moderate,152,PM2.5
13-10-2015,Agra,1,Poor,242,PM2.5
15-10-2015,Agra,1,Moderate,155,PM2.5
16-10-2015,Agra,1,Moderate,144,PM2.5
17-10-2015,Agra,1,Poor,202,PM2.5
18-10-2015,Agra,1,Poor,231,PM2.5
19-10-2015,Agra,1,Poor,251,PM2.5
20-10-2015,Agra,1,Poor,253,PM2.5
21-10-2015,Agra,1,Poor,210,PM2.5
23-10-2015,Agra,1,Poor,284,PM2.5
24-10-2015,Agra,1,Poor,261,PM2.5
25-10-2015,Agra,1,Poor,239,PM2.5
26-10-2015,Agra,1,Poor,209,PM2.5
27-10-2015,Agra,1,Poor,262,PM2.5
28-10-2015,Agra,1,Moderate,155,PM2.5
30-10-2015,Agra,1,Moderate,137,PM2.5
31-10-2015,Agra,1,Poor,221,PM2.5
01-11-2015,Agra,1,Poor,259,PM2.5
02-11-2015,Agra,1,Poor,260,PM2.5
03-11-2015,Agra,1,Poor,274,PM2.5
04-11-2015,Agra,1,Poor,292,PM2.5
05-11-2015,Agra,1,Poor,255,PM2.5
06-11-2015,Agra,1,Moderate,183,PM2.5
07-11-2015,Agra,1,Poor,279,PM2.5
08-11-2015,Agra,1,Very Poor,304,PM2.5
09-11-2015,Agra,1,Poor,287,PM2.5
10-11-2015,Agra,1,Very Poor,309,PM2.5
11-11-2015,Agra,1,Very Poor,354,PM2.5
12-11-2015,Agra,1,Very Poor,388,PM2.5
13-11-2015,Agra,1,Very Poor,367,PM2.5
14-11-2015,Agra,1,Severe,412,PM2.5
15-11-2015,Agra,1,Very Poor,377,PM2.5
16-11-2015,Agra,1,Very Poor,347,PM2.5
17-11-2015,Agra,1,Poor,293,PM2.5
18-11-2015,Agra,1,Poor,265,PM2.5
19-11-2015,Agra,1,Very Poor,363,PM2.5
21-11-2015,Agra,1,Very Poor,377,PM2.5
22-11-2015,Agra,1,Very Poor,382,PM2.5
23-11-2015,Agra,1,Severe,413,PM2.5
24-11-2015,Agra,1,Very Poor,392,PM2.5
25-11-2015,Agra,1,Very Poor,336,PM2.5
26-11-2015,Agra,1,Poor,294,PM2.5
27-11-2015,Agra,1,Very Poor,320,PM2.5
28-11-2015,Agra,1,Very Poor,359,PM2.5
29-11-2015,Agra,1,Severe,423,PM2.5
30-11-2015,Agra,1,Very Poor,398,PM2.5
01-12-2015,Agra,1,Very Poor,384,PM2.5
02-12-2015,Agra,1,Very Poor,308,PM2.5
04-12-2015,Agra,1,Very Poor,333,PM2.5
05-12-2015,Agra,1,Very Poor,369,PM2.5
07-12-2015,Agra,1,Very Poor,390,PM2.5
09-12-2015,Agra,1,Very Poor,359,PM2.5
10-12-2015,Agra,1,Very Poor,360,PM2.5
11-12-2015,Agra,1,Very Poor,309,PM2.5
12-12-2015,Agra,1,Very Poor,352,PM2.5
13-12-2015,Agra,1,Poor,278,PM2.5
14-12-2015,Agra,1,Poor,279,PM2.5
15-12-2015,Agra,1,Poor,207,PM2.5
16-12-2015,Agra,1,Poor,287,PM2.5
17-12-2015,Agra,1,Very Poor,341,PM2.5
18-12-2015,Agra,1,Very Poor,370,PM2.5
19-12-2015,Agra,1,Very Poor,379,PM2.5
20-12-2015,Agra,1,Severe,401,PM2.5
21-12-2015,Agra,1,Severe,403,PM2.5
22-12-2015,Agra,1,Severe,427,PM2.5
23-12-2015,Agra,1,Severe,431,PM2.5
24-12-2015,Agra,1,Severe,420,PM2.5
25-12-2015,Agra,1,Poor,253,PM2.5
26-12-2015,Agra,1,Very Poor,320,PM2.5
27-12-2015,Agra,1,Very Poor,317,PM2.5
28-12-2015,Agra,1,Poor,287,PM2.5
29-12-2015,Agra,1,Very Poor,314,PM2.5
30-12-2015,Agra,1,Poor,273,PM2.5
31-12-2015,Agra,1,Severe,412,PM2.5
01-01-2016,Agra,1,Severe,417,PM2.5
02-01-2016,Agra,1,Severe,421,PM2.5
03-01-2016,Agra,1,Severe,403,PM2.5
04-01-2016,Agra,1,Severe,418,PM2.5
05-01-2016,Agra,1,Severe,442,PM2.5
06-01-2016,Agra,1,Severe,414,PM2.5
07-01-2016,Agra,1,Severe,407,PM2.5
08-01-2016,Agra,1,Severe,449,PM2.5
09-01-2016,Agra,1,Poor,298,PM2.5
10-01-2016,Agra,1,Poor,262,PM2.5
11-01-2016,Agra,1,Very Poor,323,PM2.5
12-01-2016,Agra,1,Poor,274,PM2.5
13-01-2016,Agra,1,Very Poor,315,PM2.5
14-01-2016,Agra,1,Very Poor,400,PM2.5
15-01-2016,Agra,1,Very Poor,389,PM2.5
16-01-2016,Agra,1,Very Poor,329,PM2.5
17-01-2016,Agra,1,Very Poor,399,PM2.5
19-01-2016,Agra,1,Very Poor,397,PM2.5
20-01-2016,Agra,1,Very Poor,385,PM2.5
21-01-2016,Agra,1,Very Poor,372,PM2.5
22-01-2016,Agra,1,Severe,403,PM2.5
23-01-2016,Agra,1,Very Poor,360,PM2.5
24-01-2016,Agra,1,Very Poor,383,PM2.5
25-01-2016,Agra,1,Very Poor,346,PM2.5
26-01-2016,Agra,1,Very Poor,400,PM2.5
28-01-2016,Agra,1,Very Poor,387,PM2.5
29-01-2016,Agra,1,Very Poor,389,PM2.5
30-01-2016,Agra,1,Very Poor,371,PM2.5
31-01-2016,Agra,1,Very Poor,391,PM2.5
02-02-2016,Agra,1,Poor,234,PM2.5
03-02-2016,Agra,1,Moderate,188,PM2.5
04-02-2016,Agra,1,Moderate,191,PM2.5
05-02-2016,Agra,1,Poor,276,PM2.5
09-02-2016,Agra,1,Poor,259,PM2.5
10-02-2016,Agra,1,Very Poor,309,PM2.5
11-02-2016,Agra,1,Poor,286,PM2.5
12-02-2016,Agra,1,Poor,290,PM2.5
13-02-2016,Agra,1,Poor,237,PM2.5
18-02-2016,Agra,1,Poor,263,PM2.5
