date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
16-03-2021,Agartala,1,Poor,229,PM2.5
17-03-2021,Agartala,1,Poor,243,PM2.5
18-03-2021,Agartala,1,Poor,258,PM2.5
19-03-2021,Agartala,1,Poor,270,PM2.5
20-03-2021,Agartala,1,Poor,274,PM2.5
21-03-2021,Agartala,1,Very Poor,314,PM2.5
22-03-2021,Agartala,1,Poor,287,PM2.5
23-03-2021,Agartala,1,Poor,235,PM2.5
24-03-2021,Agartala,1,Poor,263,PM2.5
25-03-2021,Agartala,1,Moderate,141,PM10
26-03-2021,Agartala,1,Moderate,158,PM10
27-03-2021,Agartala,1,Moderate,146,PM10
28-03-2021,Agartala,1,Moderate,152,PM10
29-03-2021,Agartala,1,Moderate,176,PM2.5
30-03-2021,Agartala,1,Satisfactory,97,PM10
31-03-2021,Agartala,1,Moderate,104,PM10
01-04-2021,Agartala,1,Satisfactory,78,PM10
02-04-2021,Agartala,1,Satisfactory,96,PM10
03-04-2021,Agartala,1,Moderate,115,PM10
04-04-2021,Agartala,1,Moderate,119,PM10
05-04-2021,Agartala,1,Satisfactory,86,PM10
06-04-2021,Agartala,1,Moderate,151,O3
07-04-2021,Agartala,1,Moderate,108,PM10
08-04-2021,Agartala,1,Satisfactory,85,PM10
09-04-2021,Agartala,1,Satisfactory,56,PM10
10-04-2021,Agartala,1,Satisfactory,75,PM10
11-04-2021,Agartala,1,Satisfactory,95,PM10
12-04-2021,Agartala,1,Satisfactory,92,PM10
13-04-2021,Agartala,1,Satisfactory,87,PM10
14-04-2021,Agartala,1,Satisfactory,74,PM10
15-04-2021,Agartala,1,Satisfactory,62,PM10
16-04-2021,Agartala,1,Satisfactory,61,PM10
17-04-2021,Agartala,1,Satisfactory,77,O3
18-04-2021,Agartala,1,Satisfactory,63,O3
19-04-2021,Agartala,1,Satisfactory,57,PM10
20-04-2021,Agartala,1,Satisfactory,54,PM10
21-04-2021,Agartala,1,Satisfactory,62,PM10
22-04-2021,Agartala,1,Satisfactory,74,PM10
23-04-2021,Agartala,1,Moderate,124,PM2.5
24-04-2021,Agartala,1,Moderate,152,O3
25-04-2021,Agartala,1,Moderate,161,O3
26-04-2021,Agartala,1,Moderate,133,PM2.5
27-04-2021,Agartala,1,Satisfactory,91,PM10
28-04-2021,Agartala,1,Satisfactory,76,PM10
29-04-2021,Agartala,1,Poor,203,O3
30-04-2021,Agartala,1,Moderate,102,O3
01-05-2021,Agartala,1,Satisfactory,76,PM10
02-05-2021,Agartala,1,Satisfactory,61,O3
03-05-2021,Agartala,1,Satisfactory,51,O3
04-05-2021,Agartala,1,Satisfactory,70,PM10
05-05-2021,Agartala,1,Satisfactory,91,O3
06-05-2021,Agartala,1,Satisfactory,79,PM2.5
07-05-2021,Agartala,1,Satisfactory,56,PM2.5
08-05-2021,Agartala,1,Good,31,PM2.5
09-05-2021,Agartala,1,Good,46,O3
10-05-2021,Agartala,1,Good,37,O3
11-05-2021,Agartala,1,Good,30,O3
12-05-2021,Agartala,1,Good,45,O3
13-05-2021,Agartala,1,Good,32,PM2.5
14-05-2021,Agartala,1,Good,40,O3
15-05-2021,Agartala,1,Good,27,O3
16-05-2021,Agartala,1,Good,24,PM10
17-05-2021,Agartala,1,Good,25,PM2.5
19-05-2021,Agartala,1,Good,21,O3
20-05-2021,Agartala,1,Good,24,PM10
21-05-2021,Agartala,1,Good,26,PM10
22-05-2021,Agartala,1,Good,29,PM10
23-05-2021,Agartala,1,Good,42,PM10
24-05-2021,Agartala,1,Good,29,O3
25-05-2021,Agartala,1,Good,22,SO2
26-05-2021,Agartala,1,Good,29,O3
27-05-2021,Agartala,1,Good,39,PM10
28-05-2021,Agartala,1,Satisfactory,53,PM10
29-05-2021,Agartala,1,Good,50,PM2.5
30-05-2021,Agartala,1,Satisfactory,61,PM2.5
31-05-2021,Agartala,1,Satisfactory,60,PM10
02-06-2021,Agartala,1,Good,27,O3
03-06-2021,Agartala,1,Good,50,PM2.5
04-06-2021,Agartala,1,Good,41,PM2.5
05-06-2021,Agartala,1,Good,37,PM2.5
07-06-2021,Agartala,1,Good,31,PM2.5
08-06-2021,Agartala,1,Good,35,PM2.5
09-06-2021,Agartala,1,Good,48,PM2.5
11-06-2021,Agartala,1,Good,21,SO2
12-06-2021,Agartala,1,Good,22,SO2
13-06-2021,Agartala,1,Good,22,SO2
15-06-2021,Agartala,1,Good,22,SO2
16-06-2021,Agartala,1,Good,25,PM2.5
17-06-2021,Agartala,1,Good,26,PM2.5
20-06-2021,Agartala,1,Good,21,SO2
21-06-2021,Agartala,1,Good,21,SO2
22-06-2021,Agartala,1,Good,42,PM2.5
