date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
08-09-2020,Aizawl,1,Good,18,SO2
09-09-2020,Aizawl,1,Good,18,SO2
10-09-2020,Aizawl,1,Good,19,SO2
17-09-2020,Aizawl,1,Good,20,SO2
18-09-2020,Aizawl,1,Good,21,SO2
19-09-2020,Aizawl,1,Good,21,SO2
20-09-2020,Aizawl,1,Good,22,SO2
21-09-2020,Aizawl,1,Good,22,SO2
24-09-2020,Aizawl,1,Good,22,SO2
26-09-2020,Aizawl,1,Good,23,SO2
27-09-2020,Aizawl,1,Good,23,SO2
28-09-2020,Aizawl,1,Good,23,SO2
29-09-2020,Aizawl,1,Good,23,SO2
30-09-2020,Aizawl,1,Good,24,SO2
01-10-2020,Aizawl,1,Good,24,SO2
02-10-2020,Aizawl,1,Good,24,SO2
10-11-2020,Aizawl,1,Good,25,SO2
11-11-2020,Aizawl,1,Good,14,PM10
12-11-2020,Aizawl,1,Good,17,PM10
17-11-2020,Aizawl,1,Good,44,PM10
18-11-2020,Aizawl,1,Good,45,PM10
19-11-2020,Aizawl,1,Satisfactory,51,PM10
20-11-2020,Aizawl,1,Satisfactory,72,PM10
21-11-2020,Aizawl,1,Good,48,PM10
22-11-2020,Aizawl,1,Good,48,PM2.5
23-11-2020,Aizawl,1,Satisfactory,55,PM2.5
24-11-2020,Aizawl,1,Good,18,PM10
25-11-2020,Aizawl,1,Good,14,PM10
26-11-2020,Aizawl,1,Good,13,CO
27-11-2020,Aizawl,1,Good,15,PM10
28-11-2020,Aizawl,1,Good,17,PM10
29-11-2020,Aizawl,1,Good,14,PM10
30-11-2020,Aizawl,1,Good,13,PM10
01-12-2020,Aizawl,1,Good,18,PM10
02-12-2020,Aizawl,1,Good,14,PM10
03-12-2020,Aizawl,1,Good,15,CO
04-12-2020,Aizawl,1,Good,17,PM10
05-12-2020,Aizawl,1,Good,34,PM10
06-12-2020,Aizawl,1,Satisfactory,66,PM2.5
07-12-2020,Aizawl,1,Moderate,163,PM2.5
08-12-2020,Aizawl,1,Moderate,146,PM2.5
09-12-2020,Aizawl,1,Moderate,151,PM2.5
10-12-2020,Aizawl,1,Satisfactory,75,PM2.5
11-12-2020,Aizawl,1,Good,39,PM2.5
12-12-2020,Aizawl,1,Good,27,PM10
13-12-2020,Aizawl,1,Good,18,PM10
14-12-2020,Aizawl,1,Good,29,PM10
15-12-2020,Aizawl,1,Good,39,PM10
16-12-2020,Aizawl,1,Good,32,PM10
17-12-2020,Aizawl,1,Good,40,PM10
18-12-2020,Aizawl,1,Satisfactory,71,PM2.5
19-12-2020,Aizawl,1,Satisfactory,67,PM2.5
20-12-2020,Aizawl,1,Good,24,PM10
21-12-2020,Aizawl,1,Good,22,PM10
22-12-2020,Aizawl,1,Good,19,PM10
23-12-2020,Aizawl,1,Good,19,PM10
24-12-2020,Aizawl,1,Good,26,PM10
25-12-2020,Aizawl,1,Good,25,PM2.5
26-12-2020,Aizawl,1,Good,25,PM10
27-12-2020,Aizawl,1,Good,12,SO2
28-12-2020,Aizawl,1,Good,11,SO2
29-12-2020,Aizawl,1,Good,12,PM10
30-12-2020,Aizawl,1,Good,16,PM10
31-12-2020,Aizawl,1,Good,13,PM10
01-01-2021,Aizawl,1,Good,13,PM10
02-01-2021,Aizawl,1,Good,15,PM10
03-01-2021,Aizawl,1,Good,17,PM10
04-01-2021,Aizawl,1,Good,14,PM10
05-01-2021,Aizawl,1,Good,22,PM10
06-01-2021,Aizawl,1,Good,14,CO
07-01-2021,Aizawl,1,Good,27,PM10
08-01-2021,Aizawl,1,Good,43,PM10
09-01-2021,Aizawl,1,Satisfactory,56,PM2.5
12-01-2021,Aizawl,1,Moderate,104,PM2.5
13-01-2021,Aizawl,1,Satisfactory,95,PM2.5
14-01-2021,Aizawl,1,Satisfactory,92,PM2.5
15-01-2021,Aizawl,1,Moderate,106,PM2.5
16-01-2021,Aizawl,1,Moderate,139,PM2.5
17-01-2021,Aizawl,1,Moderate,158,PM2.5
18-01-2021,Aizawl,1,Satisfactory,66,PM2.5
19-01-2021,Aizawl,1,Satisfactory,99,PM2.5
20-01-2021,Aizawl,1,Poor,208,PM2.5
21-01-2021,Aizawl,1,Moderate,193,PM2.5
22-01-2021,Aizawl,1,Satisfactory,78,PM2.5
23-01-2021,Aizawl,1,Satisfactory,57,PM2.5
24-01-2021,Aizawl,1,Satisfactory,77,PM2.5
25-01-2021,Aizawl,1,Satisfactory,63,PM2.5
26-01-2021,Aizawl,1,Good,43,PM10
27-01-2021,Aizawl,1,Good,46,PM10
28-01-2021,Aizawl,1,Good,32,PM10
29-01-2021,Aizawl,1,Good,32,PM10
30-01-2021,Aizawl,1,Good,36,PM10
31-01-2021,Aizawl,1,Satisfactory,65,PM10
01-02-2021,Aizawl,1,Satisfactory,83,PM2.5
02-02-2021,Aizawl,1,Satisfactory,80,PM10
03-02-2021,Aizawl,1,Satisfactory,61,PM10
04-02-2021,Aizawl,1,Good,40,PM10
05-02-2021,Aizawl,1,Good,39,PM10
06-02-2021,Aizawl,1,Good,29,PM10
07-02-2021,Aizawl,1,Satisfactory,51,PM10
08-02-2021,Aizawl,1,Satisfactory,67,PM10
09-02-2021,Aizawl,1,Satisfactory,65,PM10
10-02-2021,Aizawl,1,Satisfactory,70,PM10
11-02-2021,Aizawl,1,Satisfactory,69,PM10
12-02-2021,Aizawl,1,Moderate,101,PM2.5
13-02-2021,Aizawl,1,Satisfactory,92,PM10
14-02-2021,Aizawl,1,Satisfactory,70,PM10
15-02-2021,Aizawl,1,Moderate,122,PM2.5
16-02-2021,Aizawl,1,Moderate,108,PM2.5
17-02-2021,Aizawl,1,Moderate,118,PM10
18-02-2021,Aizawl,1,Satisfactory,59,PM2.5
19-02-2021,Aizawl,1,Satisfactory,67,PM10
20-02-2021,Aizawl,1,Satisfactory,84,PM10
22-02-2021,Aizawl,1,Satisfactory,59,PM10
23-02-2021,Aizawl,1,Satisfactory,70,PM10
24-02-2021,Aizawl,1,Satisfactory,89,PM10
25-02-2021,Aizawl,1,Moderate,162,PM2.5
26-02-2021,Aizawl,1,Moderate,112,PM10
01-03-2021,Aizawl,1,Satisfactory,76,PM10
02-03-2021,Aizawl,1,Satisfactory,75,PM10
03-03-2021,Aizawl,1,Satisfactory,96,PM10
04-03-2021,Aizawl,1,Satisfactory,87,PM10
05-03-2021,Aizawl,1,Satisfactory,68,PM2.5
06-03-2021,Aizawl,1,Moderate,107,PM10
