date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
20-06-2023,Byrnihat,1,Moderate,161,PM10
21-06-2023,Byrnihat,1,Poor,205,PM10
22-06-2023,Byrnihat,1,Poor,201,PM10
23-06-2023,Byrnihat,1,Poor,239,PM10
24-06-2023,Byrnihat,1,Poor,235,PM10
25-06-2023,Byrnihat,1,Poor,236,PM10
28-06-2023,Byrnihat,1,Poor,229,PM10
29-06-2023,Byrnihat,1,Moderate,175,PM2.5
30-06-2023,Byrnihat,1,Moderate,158,PM10
01-07-2023,Byrnihat,1,Moderate,103,PM10
02-07-2023,Byrnihat,1,Poor,205,PM10
03-07-2023,Byrnihat,1,Poor,238,PM10
04-07-2023,Byrnihat,1,Moderate,150,PM10
05-07-2023,Byrnihat,1,Poor,228,PM10
06-07-2023,Byrnihat,1,Moderate,161,PM2.5
07-07-2023,Byrnihat,1,Poor,213,PM2.5
08-07-2023,Byrnihat,1,Moderate,151,PM2.5
09-07-2023,Byrnihat,1,Poor,257,PM2.5
10-07-2023,Byrnihat,1,Moderate,164,PM2.5
11-07-2023,Byrnihat,1,Poor,210,PM2.5
12-07-2023,Byrnihat,1,Moderate,162,PM2.5
13-07-2023,Byrnihat,1,Moderate,153,PM2.5
14-07-2023,Byrnihat,1,Satisfactory,76,PM2.5
15-07-2023,Byrnihat,1,Moderate,175,PM2.5
16-07-2023,Byrnihat,1,Moderate,185,PM2.5
17-07-2023,Byrnihat,1,Satisfactory,52,PM10
19-07-2023,Byrnihat,1,Poor,223,PM2.5
20-07-2023,Byrnihat,1,Poor,212,PM2.5
21-07-2023,Byrnihat,1,Satisfactory,97,PM2.5
22-07-2023,Byrnihat,1,Poor,201,PM10
23-07-2023,Byrnihat,1,Poor,224,PM10
28-07-2023,Byrnihat,1,Moderate,136,PM2.5
29-07-2023,Byrnihat,1,Satisfactory,70,PM10
30-07-2023,Byrnihat,1,Satisfactory,74,PM10
31-07-2023,Byrnihat,1,Moderate,163,PM10
01-08-2023,Byrnihat,1,Moderate,174,PM10
02-08-2023,Byrnihat,1,Moderate,187,PM2.5
03-08-2023,Byrnihat,1,Satisfactory,64,PM10
04-08-2023,Byrnihat,1,Moderate,121,PM2.5
05-08-2023,Byrnihat,1,Moderate,166,PM10
06-08-2023,Byrnihat,1,Moderate,124,PM2.5
07-08-2023,Byrnihat,1,Moderate,118,PM10
08-08-2023,Byrnihat,1,Moderate,170,PM2.5
09-08-2023,Byrnihat,1,Moderate,162,PM2.5
10-08-2023,Byrnihat,1,Moderate,185,PM2.5
11-08-2023,Byrnihat,1,Poor,231,PM2.5
12-08-2023,Byrnihat,1,Moderate,142,PM10
13-08-2023,Byrnihat,1,Satisfactory,88,PM10
14-08-2023,Byrnihat,1,Moderate,155,PM2.5
15-08-2023,Byrnihat,1,Moderate,192,PM2.5
16-08-2023,Byrnihat,1,Moderate,174,PM2.5
17-08-2023,Byrnihat,1,Moderate,156,PM2.5
18-08-2023,Byrnihat,1,Moderate,144,PM10
19-08-2023,Byrnihat,1,Poor,234,PM2.5
20-08-2023,Byrnihat,1,Moderate,169,PM2.5
21-08-2023,Byrnihat,1,Moderate,148,PM2.5
22-08-2023,Byrnihat,1,Moderate,184,PM10
23-08-2023,Byrnihat,1,Moderate,128,PM2.5
24-08-2023,Byrnihat,1,Moderate,196,PM2.5
25-08-2023,Byrnihat,1,Satisfactory,75,PM10
26-08-2023,Byrnihat,1,Moderate,107,PM10
27-08-2023,Byrnihat,1,Moderate,152,PM2.5
28-08-2023,Byrnihat,1,Satisfactory,100,PM10
29-08-2023,Byrnihat,1,Moderate,147,PM10
31-08-2023,Byrnihat,1,Poor,202,PM2.5
01-09-2023,Byrnihat,1,Moderate,173,PM2.5
02-09-2023,Byrnihat,1,Moderate,177,PM10
03-09-2023,Byrnihat,1,Moderate,159,PM10
05-09-2023,Byrnihat,1,Poor,245,PM10
06-09-2023,Byrnihat,1,Moderate,197,PM2.5
07-09-2023,Byrnihat,1,Poor,246,PM2.5
08-09-2023,Byrnihat,1,Poor,230,PM2.5
09-09-2023,Byrnihat,1,Poor,212,PM2.5
10-09-2023,Byrnihat,1,Poor,227,PM2.5
13-09-2023,Byrnihat,1,Moderate,188,PM10
15-09-2023,Byrnihat,1,Moderate,180,PM10
16-09-2023,Byrnihat,1,Moderate,156,PM2.5
17-09-2023,Byrnihat,1,Moderate,191,PM2.5
18-09-2023,Byrnihat,1,Poor,230,PM2.5
19-09-2023,Byrnihat,1,Moderate,160,PM10
21-09-2023,Byrnihat,1,Satisfactory,72,PM10
22-09-2023,Byrnihat,1,Moderate,114,CO
23-09-2023,Byrnihat,1,Moderate,128,PM2.5
24-09-2023,Byrnihat,1,Poor,205,PM2.5
25-09-2023,Byrnihat,1,Moderate,187,PM2.5
26-09-2023,Byrnihat,1,Moderate,186,PM2.5
27-09-2023,Byrnihat,1,Poor,257,PM2.5
28-09-2023,Byrnihat,1,Poor,226,PM2.5
29-09-2023,Byrnihat,1,Poor,223,PM2.5
30-09-2023,Byrnihat,1,Very Poor,320,PM2.5
01-10-2023,Byrnihat,1,Poor,253,PM10
02-10-2023,Byrnihat,1,Moderate,168,PM10
04-10-2023,Byrnihat,1,Moderate,200,PM2.5
05-10-2023,Byrnihat,1,Moderate,104,CO
08-10-2023,Byrnihat,1,Satisfactory,99,CO
09-10-2023,Byrnihat,1,Moderate,160,PM2.5
10-10-2023,Byrnihat,1,Satisfactory,100,PM2.5
11-10-2023,Byrnihat,1,Moderate,147,PM2.5
12-10-2023,Byrnihat,1,Poor,203,PM2.5
13-10-2023,Byrnihat,1,Moderate,111,PM2.5
15-10-2023,Byrnihat,1,Poor,206,PM2.5
16-10-2023,Byrnihat,1,Poor,202,PM2.5
17-10-2023,Byrnihat,1,Poor,218,PM10
19-10-2023,Byrnihat,1,Poor,210,PM10
20-10-2023,Byrnihat,1,Poor,223,PM2.5
21-10-2023,Byrnihat,1,Poor,241,PM10
23-10-2023,Byrnihat,1,Poor,218,PM2.5
24-10-2023,Byrnihat,1,Poor,238,PM2.5
25-10-2023,Byrnihat,1,Very Poor,302,PM10
26-10-2023,Byrnihat,1,Poor,231,PM2.5
27-10-2023,Byrnihat,1,Poor,212,PM2.5
28-10-2023,Byrnihat,1,Poor,222,PM2.5
29-10-2023,Byrnihat,1,Poor,247,PM2.5
30-10-2023,Byrnihat,1,Poor,216,PM2.5
31-10-2023,Byrnihat,1,Poor,235,PM10
01-11-2023,Byrnihat,1,Poor,246,PM10
02-11-2023,Byrnihat,1,Poor,279,PM10
03-11-2023,Byrnihat,1,Poor,276,PM2.5
04-11-2023,Byrnihat,1,Poor,272,PM10
05-11-2023,Byrnihat,1,Poor,241,PM10
06-11-2023,Byrnihat,1,Poor,293,PM2.5
07-11-2023,Byrnihat,1,Poor,260,PM10
08-11-2023,Byrnihat,1,Poor,277,PM10
10-11-2023,Byrnihat,1,Poor,233,PM2.5
11-11-2023,Byrnihat,1,Very Poor,312,PM10
12-11-2023,Byrnihat,1,Poor,258,PM2.5
13-11-2023,Byrnihat,1,Very Poor,301,PM10
14-11-2023,Byrnihat,1,Very Poor,310,PM2.5
15-11-2023,Byrnihat,1,Very Poor,327,PM10
16-11-2023,Byrnihat,1,Poor,297,PM2.5
17-11-2023,Byrnihat,1,Poor,279,PM10
18-11-2023,Byrnihat,1,Satisfactory,69,CO
19-11-2023,Byrnihat,1,Poor,258,PM2.5
20-11-2023,Byrnihat,1,Poor,274,PM10
21-11-2023,Byrnihat,1,Very Poor,311,PM10
22-11-2023,Byrnihat,1,Very Poor,324,PM2.5
23-11-2023,Byrnihat,1,Very Poor,343,PM2.5
24-11-2023,Byrnihat,1,Very Poor,305,PM2.5
25-11-2023,Byrnihat,1,Poor,284,PM10
26-11-2023,Byrnihat,1,Very Poor,312,PM2.5
27-11-2023,Byrnihat,1,Very Poor,365,PM10
29-11-2023,Byrnihat,1,Very Poor,349,PM10
30-11-2023,Byrnihat,1,Very Poor,329,PM10
01-12-2023,Byrnihat,1,Very Poor,316,PM10
02-12-2023,Byrnihat,1,Very Poor,356,PM10
03-12-2023,Byrnihat,1,Very Poor,339,PM10
04-12-2023,Byrnihat,1,Very Poor,318,PM2.5
05-12-2023,Byrnihat,1,Very Poor,379,PM2.5
06-12-2023,Byrnihat,1,Poor,292,PM2.5
07-12-2023,Byrnihat,1,Poor,266,PM2.5
08-12-2023,Byrnihat,1,Moderate,172,CO
09-12-2023,Byrnihat,1,Moderate,184,PM2.5
12-12-2023,Byrnihat,1,Poor,294,PM2.5
14-12-2023,Byrnihat,1,Poor,230,PM2.5
15-12-2023,Byrnihat,1,Poor,284,PM2.5
16-12-2023,Byrnihat,1,Poor,244,PM2.5
17-12-2023,Byrnihat,1,Poor,285,PM2.5
18-12-2023,Byrnihat,1,Poor,285,PM2.5
19-12-2023,Byrnihat,1,Poor,262,PM2.5
20-12-2023,Byrnihat,1,Poor,243,PM2.5
21-12-2023,Byrnihat,1,Very Poor,308,PM2.5
22-12-2023,Byrnihat,1,Poor,271,PM2.5
23-12-2023,Byrnihat,1,Poor,297,PM2.5
24-12-2023,Byrnihat,1,Very Poor,313,PM2.5
25-12-2023,Byrnihat,1,Poor,265,PM2.5
26-12-2023,Byrnihat,1,Poor,282,PM2.5
27-12-2023,Byrnihat,1,Poor,263,PM2.5
28-12-2023,Byrnihat,1,Poor,268,PM2.5
29-12-2023,Byrnihat,1,Poor,263,PM2.5
30-12-2023,Byrnihat,1,Poor,278,PM2.5
31-12-2023,Byrnihat,1,Very Poor,310,PM2.5
